"Rarity","Zone","Year","gm_median","gm_low","gm_high"
"Rare","Core",2000,0.00168944750369962,0.000890036821438678,0.00356872655464183
"Rare","Core",2001,0.00208353354057472,0.00115145582056797,0.00377831391311823
"Rare","Core",2002,0.00260685953965234,0.0014592564349177,0.00458065317853523
"Rare","Core",2003,0.00263609823934737,0.00150835629331933,0.00464610506482073
"Rare","Core",2004,0.00246566691720083,0.00137335472330391,0.00427331449186898
"Rare","Core",2005,0.00252372130594148,0.00137074104028695,0.00447213030135002
"Rare","Core",2006,0.00216185163910272,0.00121815859947535,0.00395017458732504
"Rare","Core",2007,0.00219103848990422,0.00123528358890526,0.00393952179313665
"Rare","Core",2008,0.00228621071432295,0.00129185178768026,0.00406291955590508
"Rare","Core",2009,0.00253334371792473,0.00143974271840236,0.00414879128961489
"Rare","Core",2010,0.00305234197225363,0.0018570669424876,0.00482284649349793
"Rare","Core",2011,0.00310133232644547,0.00195486312910053,0.00490512508742835
"Rare","Core",2012,0.00321137939277094,0.00197058872041245,0.00487547678049425
"Rare","Core",2013,0.00327341397299495,0.00202071584417536,0.00496769199038305
"Rare","Core",2014,0.00351145458010725,0.00223919671777749,0.00545207448819593
"Rare","Core",2015,0.00380706634966882,0.00249251992715028,0.00566122422507578
"Rare","Core",2016,0.00399425544265969,0.00268270109206951,0.00597971607474257
"Rare","Core",2017,0.00407828623488233,0.0026811537449202,0.00602776189339453
"Rare","Core",2018,0.00477324876457479,0.00317012710343895,0.00697723773674211
"Rare","Core",2019,0.00564155685123399,0.00372845952149877,0.00822674446980064
"Rare","Core",2020,0.00636956466011813,0.00420885272157183,0.00956996013056307
"Rare","Core",2021,0.00450273427961867,0.00289939121115451,0.00712886317262057
"Rare","Core",2022,0.00404816564153184,0.00250240283860173,0.00641733493679333
"Rare","Core",2023,0.003222998042261,0.00185268455742662,0.00527831982947755
"Rare","Buffer",2000,0.0111098048501835,0.00704570530197248,0.016814341328732
"Rare","Buffer",2001,0.0131373733337933,0.0084052417242282,0.0192361033346684
"Rare","Buffer",2002,0.014034483322364,0.00949878684563219,0.0209298607512418
"Rare","Buffer",2003,0.0162438815507023,0.0108438943280278,0.0229583775180499
"Rare","Buffer",2004,0.0176179754939489,0.0120397642456899,0.0247095640041876
"Rare","Buffer",2005,0.0193798268573239,0.0136870823134604,0.0266766709734255
"Rare","Buffer",2006,0.0194088382439913,0.0141257188381357,0.0257167310351996
"Rare","Buffer",2007,0.0195196593759304,0.0143858869585281,0.0262035145734271
"Rare","Buffer",2008,0.020870983089539,0.0158935530361539,0.0271873057393069
"Rare","Buffer",2009,0.0207860840460127,0.0162334612972693,0.0259770564765043
"Rare","Buffer",2010,0.0203506797712375,0.0161509737704844,0.0253305915431766
"Rare","Buffer",2011,0.0198349351144154,0.0154776728679146,0.0254805027665962
"Rare","Buffer",2012,0.0212643337630391,0.016885436021459,0.0260785053098376
"Rare","Buffer",2013,0.0216895867539128,0.0176640901001859,0.0264810783124567
"Rare","Buffer",2014,0.0219359285140566,0.0179536736574447,0.0273051094257263
"Rare","Buffer",2015,0.0227679419810657,0.0185856684268058,0.0278543284160919
"Rare","Buffer",2016,0.0230649010381053,0.0193230690734109,0.0282111232779077
"Rare","Buffer",2017,0.0252087600134876,0.0206109558337774,0.0302429937461422
"Rare","Buffer",2018,0.0298078146426523,0.0247373859410408,0.0353494526435939
"Rare","Buffer",2019,0.0321983067305613,0.026642401137964,0.0386311541022415
"Rare","Buffer",2020,0.0291793566563983,0.0239157277145052,0.0348690526467038
"Rare","Buffer",2021,0.02469460025641,0.0192466775930424,0.0302372547584042
"Rare","Buffer",2022,0.0240906954227445,0.0185553594283572,0.0298821271057052
"Rare","Buffer",2023,0.0215505440052844,0.0160359604055083,0.0278537151792937
"Rare","Outside",2000,0.0110833203397232,0.00687947876663644,0.016944176918464
"Rare","Outside",2001,0.0124016850002963,0.0082632226603613,0.0184081859065551
"Rare","Outside",2002,0.0130886384774927,0.0086903032690745,0.0193100958994093
"Rare","Outside",2003,0.0143362923053389,0.00980284674509292,0.020107354652892
"Rare","Outside",2004,0.0154937751823539,0.0108298062977682,0.02160024310796
"Rare","Outside",2005,0.0166166304763965,0.0122258544416255,0.0219921564334578
"Rare","Outside",2006,0.0170216069869326,0.0124993421166717,0.0227433550646945
"Rare","Outside",2007,0.0175596639388524,0.0127851219989015,0.0230039632190687
"Rare","Outside",2008,0.0201982138839085,0.0153122334890784,0.0253587557456065
"Rare","Outside",2009,0.022883900681532,0.0181647811118391,0.028357783842559
"Rare","Outside",2010,0.0224370263895956,0.0179536408377018,0.0274290297337196
"Rare","Outside",2011,0.0235342846904963,0.0189451649685301,0.0285580925635041
"Rare","Outside",2012,0.0240323868304336,0.0195416782582668,0.0289393877293299
"Rare","Outside",2013,0.0255319769198801,0.020952768204171,0.0305380941920975
"Rare","Outside",2014,0.0242868693028667,0.0198246057137804,0.028728303231515
"Rare","Outside",2015,0.0238336261427809,0.0195172551689972,0.0277722600641932
"Rare","Outside",2016,0.0252940727224849,0.0211667793534234,0.0294685919429037
"Rare","Outside",2017,0.0250451254579827,0.0214216338836932,0.0287034211284525
"Rare","Outside",2018,0.0248129477980554,0.0208062056468943,0.0284352632395249
"Rare","Outside",2019,0.0257879119043822,0.0214173143121915,0.0300378984335762
"Rare","Outside",2020,0.026968233601673,0.0226225142213144,0.0314316161908575
"Rare","Outside",2021,0.0266413090728233,0.0220927683674728,0.031558951990827
"Rare","Outside",2022,0.0259668256512948,0.0207301194249864,0.0309967050934188
"Rare","Outside",2023,0.0251755348345802,0.0194021758805805,0.0310381486868628
"Common","Core",2000,0.493221710788724,0.401356397573005,0.577802832736888
"Common","Core",2001,0.498049690009686,0.405716415875368,0.582944566942608
"Common","Core",2002,0.499989546161112,0.405596750897095,0.58027785818781
"Common","Core",2003,0.512157543732645,0.423215869028204,0.589081809895341
"Common","Core",2004,0.51623645055321,0.423403739174122,0.596679141560411
"Common","Core",2005,0.516830403664513,0.427095559306114,0.593918583846274
"Common","Core",2006,0.513290041039865,0.419608684759198,0.593451601152339
"Common","Core",2007,0.490557902789599,0.407076773499773,0.570190351169179
"Common","Core",2008,0.475822915752173,0.383235140266519,0.559117840500712
"Common","Core",2009,0.461820936561527,0.365340545962045,0.541851826504216
"Common","Core",2010,0.446245213356607,0.353144761129184,0.530872948033646
"Common","Core",2011,0.44013138070978,0.351925229279622,0.524350403790228
"Common","Core",2012,0.428423620303002,0.330850869567765,0.520124183858049
"Common","Core",2013,0.415134861774102,0.329707998594865,0.512200768579525
"Common","Core",2014,0.402708898870864,0.309186350292308,0.489099939506736
"Common","Core",2015,0.394575590084359,0.300418887214719,0.483151041475633
"Common","Core",2016,0.38724302505127,0.2950356972245,0.479718726234231
"Common","Core",2017,0.369324180911902,0.290299937545911,0.451461189517882
"Common","Core",2018,0.369594898061136,0.277107295118238,0.453363903794781
"Common","Core",2019,0.407173677104882,0.315107363317997,0.48947443640705
"Common","Core",2020,0.427560009186227,0.337008406725905,0.502308852058007
"Common","Core",2021,0.368938475313746,0.285109438471723,0.447732086336659
"Common","Core",2022,0.300993397552571,0.223951647669479,0.385264042063584
"Common","Core",2023,0.258082001589076,0.181064884389154,0.340232552673463
"Common","Buffer",2000,0.56633115123935,0.455223421603469,0.657100248165078
"Common","Buffer",2001,0.582507477403413,0.472257525127092,0.668762350300194
"Common","Buffer",2002,0.601938733944827,0.492669378430664,0.679491799665408
"Common","Buffer",2003,0.612588343398078,0.504277243612468,0.692040484674169
"Common","Buffer",2004,0.611086161911295,0.508658569447554,0.68375559709096
"Common","Buffer",2005,0.607143444835069,0.517414622489962,0.67433368384794
"Common","Buffer",2006,0.604678795042478,0.521995426115025,0.669672284806003
"Common","Buffer",2007,0.592486898277271,0.501124895863068,0.660318280248722
"Common","Buffer",2008,0.58110487766277,0.494206832030914,0.643896669376918
"Common","Buffer",2009,0.569630840670881,0.48582797653549,0.635694072348927
"Common","Buffer",2010,0.555604701530721,0.474860911022915,0.621067996363194
"Common","Buffer",2011,0.530716550453191,0.460142371429916,0.595484309103223
"Common","Buffer",2012,0.510367530906033,0.430173417658051,0.578009044338441
"Common","Buffer",2013,0.499839039656823,0.416155865898214,0.571843254000887
"Common","Buffer",2014,0.503238418671579,0.420697837142267,0.570225272632475
"Common","Buffer",2015,0.497723995555239,0.419365652757061,0.559577537816803
"Common","Buffer",2016,0.5072912246931,0.437689725847999,0.561301506323749
"Common","Buffer",2017,0.522265965811284,0.445298094310887,0.584478083883419
"Common","Buffer",2018,0.530268705319208,0.457313723182149,0.585279902783623
"Common","Buffer",2019,0.526094749885472,0.445173304154938,0.583527581776869
"Common","Buffer",2020,0.462147637074428,0.376898383491258,0.530544148861412
"Common","Buffer",2021,0.402582408221019,0.324773531273487,0.476863343086609
"Common","Buffer",2022,0.335805431767923,0.261436315337141,0.405136029217008
"Common","Buffer",2023,0.295241585374811,0.223688974316134,0.366585290589979
"Common","Outside",2000,0.503546108564408,0.407644330298444,0.598364257798385
"Common","Outside",2001,0.518853607631314,0.419853339028627,0.613503339118219
"Common","Outside",2002,0.540863810897696,0.436889421918908,0.626529249578051
"Common","Outside",2003,0.555830578697096,0.459332656370643,0.640207145357999
"Common","Outside",2004,0.568123919704987,0.486761348055171,0.647958887849431
"Common","Outside",2005,0.580360603653,0.486091363411108,0.651993484602789
"Common","Outside",2006,0.587118180914318,0.505704206426188,0.655547448260415
"Common","Outside",2007,0.585649774647128,0.516445412381939,0.650297067061095
"Common","Outside",2008,0.565072982746368,0.500613323351242,0.621662786171798
"Common","Outside",2009,0.534538680641892,0.472116463630785,0.592280052793339
"Common","Outside",2010,0.490921335052673,0.428091711053038,0.549543497318798
"Common","Outside",2011,0.475262918584025,0.410374268323232,0.53412880505865
"Common","Outside",2012,0.44558087659996,0.371164309984231,0.507629901689496
"Common","Outside",2013,0.425968402155238,0.356519341110332,0.482901860523607
"Common","Outside",2014,0.413049473509272,0.348514736674788,0.46993955851335
"Common","Outside",2015,0.415439143737305,0.353073795939212,0.470713477050756
"Common","Outside",2016,0.423231208504439,0.366665852172948,0.474228888505987
"Common","Outside",2017,0.409558197807105,0.349584338125643,0.466695453547994
"Common","Outside",2018,0.393328810324831,0.329064995842364,0.448492192972862
"Common","Outside",2019,0.380026514250172,0.311947310754518,0.442836629152465
"Common","Outside",2020,0.37169628047554,0.303724474344361,0.431373093728932
"Common","Outside",2021,0.336833894657917,0.262604684923935,0.400170971824039
"Common","Outside",2022,0.285470039217899,0.221523957608555,0.344679288152291
"Common","Outside",2023,0.254829619864828,0.193868892554014,0.320435561524707
