"Zone","Year","NMDS1_med","NMDS1_low","NMDS1_high","NMDS2_med","NMDS2_low","NMDS2_high"
"Core",2000,-0.158545850069407,-0.178942254367294,-0.141394561417057,-0.0799539387777795,-0.0998353050094211,-0.0625975618851331
"Core",2001,-0.155877115550691,-0.173268582457735,-0.139458521075828,-0.0610035127918935,-0.0774880741550871,-0.0415086991171418
"Core",2002,-0.155944936193497,-0.172542433370558,-0.134633877048973,-0.048517082837104,-0.0650643657837978,-0.028299573242556
"Core",2003,-0.148127573595527,-0.167030141415446,-0.13090243235203,-0.0425875424452379,-0.0596502765539113,-0.0276415887423714
"Core",2004,-0.148007347218302,-0.165949110876136,-0.132933309503358,-0.0402045701751448,-0.0563165921371892,-0.027033144261575
"Core",2005,-0.147221039213629,-0.169261916148964,-0.129923594326065,-0.0345709473624598,-0.052802451240736,-0.0213530815974636
"Core",2006,-0.142858169002965,-0.161696258065803,-0.125421483150016,-0.023639338790944,-0.0384936294293907,-0.0120341246244538
"Core",2007,-0.142653796276048,-0.162362699968099,-0.123078587892807,-0.0122677739933301,-0.026363059443504,-0.00025219809924889
"Core",2008,-0.139721841111906,-0.160068965224366,-0.119543270372276,0.00128724953629834,-0.0109004226345228,0.0134843861540788
"Core",2009,-0.128528986106176,-0.144834330417534,-0.111328857437149,0.0147876254109826,0.0024623197522287,0.0305273963709265
"Core",2010,-0.125277157762674,-0.142996531386588,-0.108263622315738,0.0253421738498201,0.0128108128924992,0.0410965099188691
"Core",2011,-0.114448234495696,-0.131710021593731,-0.0998332560416827,0.0352798639666566,0.0226267995402182,0.0496658937141261
"Core",2012,-0.108949638874184,-0.127877064189785,-0.0912979079690306,0.0462986728826144,0.0320288257030892,0.0597759632597032
"Core",2013,-0.0984150199587389,-0.114445451233538,-0.0817343217615863,0.0514567533294839,0.0372169804738058,0.0670292826248888
"Core",2014,-0.0957160461708265,-0.109411559966017,-0.0792799816767747,0.0645648298147649,0.0465092932320868,0.0821891153553601
"Core",2015,-0.087316350284292,-0.104116710018742,-0.0701032664005173,0.0653286876380255,0.0495653956647625,0.0849791403264692
"Core",2016,-0.0816018238925982,-0.0971394201879763,-0.0673399237204301,0.0739218006769888,0.0570617411381377,0.0910916787997073
"Core",2017,-0.0764257570912618,-0.0938932505027388,-0.0597245663932576,0.0934529471361589,0.0767015804145326,0.111777356187249
"Core",2018,-0.0663953674111047,-0.083734367091237,-0.0492524230111728,0.0992975014294062,0.0817497483445802,0.120602939666584
"Core",2019,-0.0518236292091797,-0.0677858600797888,-0.0371454089005108,0.0906092933094928,0.0728701581802744,0.111241244627008
"Core",2020,-0.0572086749918595,-0.0747008271499492,-0.0425005760399002,0.0794324743039477,0.0636817210096684,0.0988056518164751
"Core",2021,-0.0606821198929505,-0.0820622760041099,-0.0430361108639958,0.115771886912853,0.0958205748434456,0.134766794297407
"Core",2022,-0.0664968032958337,-0.0910403466717575,-0.044301670011451,0.152018415493419,0.130399443102063,0.174871516437018
"Core",2023,-0.0761488066788822,-0.103436774318363,-0.0515137750733436,0.176325456310466,0.153757753044864,0.196182714010459
"Buffer",2000,-0.0439931927023301,-0.0573333972462536,-0.0320895058561013,-0.108038093461093,-0.123291779167662,-0.0911655243843553
"Buffer",2001,-0.0395791702829387,-0.0494916090750659,-0.0275186381608693,-0.0950984126420024,-0.112600325098715,-0.0777486088278611
"Buffer",2002,-0.0389650376440502,-0.0485223154226742,-0.0287923498840263,-0.0828665169853079,-0.101341869057522,-0.0673334914666919
"Buffer",2003,-0.0337947371654633,-0.0420325734863283,-0.0247322804973987,-0.0781976013886428,-0.0917873064354991,-0.0658023332735621
"Buffer",2004,-0.0338553806765476,-0.0439315946632398,-0.0237717200735617,-0.0757825026285241,-0.0908955005290061,-0.0617106861250399
"Buffer",2005,-0.0319537253275872,-0.0405927677806459,-0.0213587768180944,-0.07178779743172,-0.0883047892791429,-0.0583642439226873
"Buffer",2006,-0.0244035679142792,-0.0340246761918771,-0.0132862720695654,-0.0598546627828414,-0.0750638543687885,-0.0467767870224671
"Buffer",2007,-0.0158642703544177,-0.0252115351883044,-0.00558015006877209,-0.0487333549415008,-0.0640994179445907,-0.0381026940358725
"Buffer",2008,-0.00918661738627507,-0.0181378432657229,0.00190321916086907,-0.0359277592676261,-0.0465090373965175,-0.0255596140382044
"Buffer",2009,-0.000324931250995778,-0.0100197260301515,0.0098887322209798,-0.0219250146983898,-0.0316388922648352,-0.0124049144939441
"Buffer",2010,0.0102111827788217,0.000965218803869218,0.0217657669987885,-0.00977941799043518,-0.0184400881561154,-0.00146352016464095
"Buffer",2011,0.0145204044638047,0.00377832726330601,0.0280508105443322,0.000131346692941447,-0.0091250771795745,0.0114842052344857
"Buffer",2012,0.0221778808485793,0.0113127247290139,0.0368808454476623,0.00764824045414673,-0.00308913375467068,0.025082777489372
"Buffer",2013,0.0262735957015057,0.0149704138720308,0.0420991559330923,0.0117853033633614,0.00211734358200991,0.0295272564057396
"Buffer",2014,0.023503251947538,0.0118069689055424,0.0370710790223207,0.00885533507086834,-0.00145920668138065,0.0214544536823573
"Buffer",2015,0.0268933043473467,0.0157946662971143,0.0390008744887462,0.0176562870832251,0.00798905359334358,0.0318304368896234
"Buffer",2016,0.0298648040660273,0.0181797594618204,0.0427016656761546,0.0212998065338044,0.0098995645459487,0.0329954414704494
"Buffer",2017,0.030211368595631,0.0181638780577773,0.0425274174792217,0.0181656666034199,0.00894377879916377,0.0288724677583598
"Buffer",2018,0.0356880716132579,0.0233930809861254,0.0479253159052529,0.0188890651855562,0.00977582721233643,0.0288246192328892
"Buffer",2019,0.0411716786631421,0.0274898207042998,0.0518302917172707,0.0235114342071469,0.0149914818412467,0.0342945484020416
"Buffer",2020,0.0465786256370305,0.0345221608685109,0.0600485206523338,0.0423070595522316,0.0319210028350431,0.0537815899990804
"Buffer",2021,0.0558101912010996,0.0421461576266316,0.0682616029768783,0.0648580700576064,0.0518605092262539,0.082839552497608
"Buffer",2022,0.0751645742663841,0.0585079087340184,0.0934798851119178,0.113683121033291,0.0957068287034077,0.130037824560604
"Buffer",2023,0.0855152496945294,0.0680935855417795,0.107067744320052,0.143206139277289,0.121976433126388,0.164102160143976
"Outside",2000,0.0331372465214286,0.0170188526282234,0.0501063885951861,-0.133898267410202,-0.151853193223829,-0.117360119521402
"Outside",2001,0.0370026042287434,0.0220626329021447,0.0546391263759079,-0.118913743899191,-0.135258911689616,-0.104495110155124
"Outside",2002,0.046946386445645,0.0334300914298945,0.0612493461626756,-0.104455897506446,-0.119495733527446,-0.0899041300842971
"Outside",2003,0.0488154793818796,0.0347258282826938,0.0620204310515218,-0.100042074790165,-0.113817338877225,-0.0847894933992348
"Outside",2004,0.0539318944660235,0.040366653193503,0.0669739800470526,-0.0941424206366447,-0.107082293827816,-0.0804840283442089
"Outside",2005,0.0604532955737581,0.0484051599610674,0.0712885404388606,-0.0869194730648815,-0.0980474341509098,-0.0751030330260153
"Outside",2006,0.0636542340150112,0.0516139012286765,0.0758275005913845,-0.0791169290553722,-0.0904488202113241,-0.0684952739193952
"Outside",2007,0.064371151330455,0.0524271034862525,0.0760658381356062,-0.0717519436457805,-0.0827787823720006,-0.0611994488008048
"Outside",2008,0.0703463744768505,0.0572324709678408,0.0834702021485308,-0.0636237987574364,-0.076282687089246,-0.0524459988850181
"Outside",2009,0.0755619568967184,0.0615429718527269,0.0890228892127514,-0.0528199255992389,-0.062714848329748,-0.0424405484786001
"Outside",2010,0.0932309224645066,0.0797614610794694,0.107605265749343,-0.0378981747509774,-0.0494792706457003,-0.027832336029031
"Outside",2011,0.105958134878212,0.0921370705454614,0.121092578671781,-0.0234488740897366,-0.034071603456215,-0.0137274652981449
"Outside",2012,0.118778724528636,0.102328797243864,0.137698058720335,-0.0135980295411493,-0.0261787770305825,-0.00280775926101579
"Outside",2013,0.130646265343722,0.111264543662086,0.146490072580089,-0.00840737140907316,-0.0201444799827206,0.00490593863409179
"Outside",2014,0.132716052845705,0.114611440946593,0.1496260939106,0.00345438534037999,-0.00739958560401892,0.0193775970921036
"Outside",2015,0.130136580647594,0.111977383327548,0.147483862901201,0.013644527608368,0.000377269360226835,0.029726218577971
"Outside",2016,0.12409640213408,0.109519561635517,0.14190943871221,0.0186211272541093,0.00480521209084266,0.033683513145836
"Outside",2017,0.124557548976996,0.108539177971743,0.142221060716138,0.0194181576413936,0.0083360908528635,0.032419714839978
"Outside",2018,0.131026365759798,0.114154554688698,0.150009199901496,0.0267728588527834,0.0148591529953577,0.0371196039037451
"Outside",2019,0.13464332892897,0.119762794300505,0.151399005766784,0.0245600552727146,0.0114776582701781,0.0355052835926176
"Outside",2020,0.141574706933498,0.124255504801441,0.15650622557496,0.0243315248309716,0.0112361995213221,0.0356266511214431
"Outside",2021,0.144269854971614,0.128504162923639,0.160419605385312,0.0396787688262429,0.0254284052170029,0.051266835292181
"Outside",2022,0.151839766540209,0.134213476514508,0.173617416686211,0.072038838410634,0.0559468765697663,0.0897375262169416
"Outside",2023,0.160221483033823,0.139104242991591,0.182594144303077,0.0944503598962097,0.0762276481668275,0.114541297884021
